Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-04 18:56:36.317 +0530,"Success",0:00:00,0,0,0,"20231204_185636.317/LogFile.txt","","",1
2023-12-04 18:59:40.519 +0530,"Failure",0:00:22,1,0,1,"20231204_185940.519/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""micrisoftEdge""",0
2023-12-04 19:00:48.096 +0530,"Aborted",0:00:16,1,0,1,"20231204_190048.096/LogFile.txt","","",0
2023-12-04 19:01:05.789 +0530,"Aborted",0:00:37,1,0,1,"20231204_190105.789/LogFile.txt","","",0
2023-12-04 19:02:19.264 +0530,"Failure",0:00:00,1,0,1,"20231204_190219.264/LogFile.txt","","No Remote Connection -- imagelocation Error - Remote Connection Unavailable",0
2023-12-04 19:02:36.713 +0530,"Failure",0:00:00,1,0,1,"20231204_190236.713/LogFile.txt","","No Remote Connection -- imagelocation Error - Remote Connection Unavailable",0
2023-12-04 19:03:02.061 +0530,"Failure",0:00:00,1,0,1,"20231204_190302.061/LogFile.txt","","No Remote Connection -- imagelocation Error - Remote Connection Unavailable",0
2023-12-04 19:15:19.422 +0530,"Failure",0:00:00,1,0,1,"20231204_191519.422/LogFile.txt","","No Remote Connection -- imagelocation Error - Remote Connection Unavailable",0
2023-12-04 19:16:14.568 +0530,"Failure",0:00:00,1,0,1,"20231204_191614.568/LogFile.txt","","No Remote Connection -- imagelocation Error - Remote Connection Unavailable",0
2023-12-04 19:17:16.705 +0530,"Aborted",0:00:22,1,0,1,"20231204_191716.705/LogFile.txt","","",0
2023-12-04 19:17:40.798 +0530,"Success",0:00:00,0,0,0,"20231204_191740.798/LogFile.txt","","",1
2023-12-04 19:17:53.461 +0530,"Aborted",0:01:18,1,0,1,"20231204_191753.461/LogFile.txt","","",0
2023-12-04 19:19:14.769 +0530,"Success",0:00:00,0,0,0,"20231204_191914.769/LogFile.txt","","",1
2023-12-04 19:19:26.297 +0530,"Aborted",0:00:19,1,0,1,"20231204_191926.297/LogFile.txt","","",0
2023-12-04 19:22:13.088 +0530,"Success",0:00:00,0,0,0,"20231204_192213.088/LogFile.txt","","",1
2023-12-04 19:22:21.640 +0530,"Aborted",0:00:37,1,0,1,"20231204_192221.640/LogFile.txt","","",0
2023-12-04 19:23:15.113 +0530,"Failure",0:00:22,1,0,1,"20231204_192315.113/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""image0001.png""",0
2023-12-04 19:41:05.799 +0530,"Aborted",0:00:42,1,0,1,"20231204_194105.799/LogFile.txt","","",0
2023-12-04 19:42:06.534 +0530,"Aborted",0:00:00,0,0,0,"20231204_194206.534/LogFile.txt","","",1
2023-12-04 19:43:55.483 +0530,"Success",0:00:00,0,0,0,"20231204_194355.483/LogFile.txt","","",1
2023-12-04 19:44:11.865 +0530,"Success",0:00:00,0,0,0,"20231204_194411.865/LogFile.txt","","",1
2023-12-04 19:46:06.388 +0530,"Success",0:00:00,0,0,0,"20231204_194606.388/LogFile.txt","","",1
2023-12-05 14:19:44.165 +0530,"Aborted",0:00:37,1,0,1,"20231205_141944.165/LogFile.txt","","",0
2023-12-05 14:20:23.796 +0530,"Failure",0:00:22,1,0,1,"20231205_142023.796/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""image0003""",0
2023-12-05 14:21:21.959 +0530,"Aborted",0:00:30,1,0,1,"20231205_142121.959/LogFile.txt","","",0
2023-12-05 14:21:54.401 +0530,"Failure",0:00:23,1,0,1,"20231205_142154.401/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""RequestOTP""",0
2023-12-05 15:04:48.755 +0530,"Success",0:00:00,0,0,0,"20231205_150448.755/LogFile.txt","","",1
2023-12-05 15:10:57.377 +0530,"Success",0:00:00,0,0,0,"20231205_151057.377/LogFile.txt","","",1
2023-12-05 15:39:50.151 +0530,"Aborted",0:00:31,1,0,0,"20231205_153950.151/LogFile.txt","","",0
