Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-06 10:35:37.544 +0530,"Failure",0:00:00,1,0,0,"20231206_103537.544/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'openbrowser'",0
2023-12-06 10:43:26.184 +0530,"Failure",0:00:00,1,0,0,"20231206_104326.184/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'openbrowser'",0
2023-12-06 16:17:32.721 +0530,"Failure",0:00:00,1,0,0,"20231206_161732.721/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 16:17:44.575 +0530,"Failure",0:00:00,1,0,0,"20231206_161744.575/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 16:18:20.280 +0530,"Failure",0:00:00,1,0,0,"20231206_161820.280/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 16:19:13.123 +0530,"Failure",0:00:00,1,0,0,"20231206_161913.123/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 16:27:02.291 +0530,"Failure",0:00:00,1,0,0,"20231206_162702.291/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:34:55.383 +0530,"Failure",0:00:00,1,0,0,"20231206_173455.383/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:36:21.443 +0530,"Failure",0:00:00,1,0,0,"20231206_173621.443/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:36:38.914 +0530,"Aborted",0:01:01,1,0,0,"20231206_173638.914/LogFile.txt","","",0
2023-12-06 17:37:41.024 +0530,"Failure",0:00:00,1,0,0,"20231206_173741.024/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:37:46.070 +0530,"Failure",0:00:51,1,0,0,"20231206_173746.070/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:39:48.513 +0530,"Failure",0:00:00,1,0,0,"20231206_173948.513/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:40:11.959 +0530,"Failure",0:00:23,1,0,1,"20231206_174011.959/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Text_verify_newImage""",0
2023-12-06 17:43:28.025 +0530,"Failure",0:00:00,1,0,0,"20231206_174328.025/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2023-12-06 17:44:25.972 +0530,"Failure",0:00:00,1,0,0,"20231206_174425.972/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
